"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",27.48,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,0.89%,-2.19%,-4.28%,-3.04%,-8.95%,7.68%,7.68%,7.68%,7.68%,7.68%,16.35%,8.73%,14.28%,111.30%,-18.26%,89.81%,0.14,2.78%,4.61%,18.56%,11.02%,53.16%,4/15/2024 8:30:00 AM,7.68%,5.05%,78.20,430.64,1683879,1.98,2.08,2.70,2.00,2.24,13.12%,
2,"CDT","Conduit Pharmaceuticals Inc","USA",27.41,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,-9.17%,-8.32%,-7.82%,-7.73%,-1.77%,-1.62%,-0.24%,-7.15%,-7.15%,-7.15%,-11.17%,-81.62%,-88.47%,-90.92%,-96.46%,-91.84%,0.22,35.43%,31.41%,-60.86%,-82.47%,-87.30%,,-11.83%,75.46%,313.83,2496.92,39180681,0.24,0.42,0.42,0.35,0.37,54.71%,
3,"AEON","AEON Biopharma Inc.","USA",100.93,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.00%,0.00%,0.39%,0.39%,-1.53%,-0.04%,0.39%,-4.09%,-4.09%,-4.09%,134.55%,89.71%,-63.66%,-63.97%,-67.75%,-64.17%,0.34,36.67%,17.87%,117.46%,74.99%,-57.11%,5/14/2024 4:30:00 PM,-4.80%,18.86%,1001.61,46.47,2327097,2.28,2.71,2.73,2.46,2.58,13.16%,
4,"SIEB","Siebert Financial Corp.","USA",70.59,8.21,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,0.57%,0.57%,-3.80%,-3.80%,-3.80%,2.32%,-2.75%,-15.71%,-4.20%,-24.68%,5.36%,0.11,2.43%,6.23%,3.32%,-12.01%,-5.57%,,-3.80%,6.98%,16.53,325.44,268974,1.72,1.84,1.90,1.74,1.77,2.91%,
5,"KZIA","Kazia Therapeutics Limited ADR","Australia",13.44,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,1.77%,1.77%,1.77%,2.56%,-0.23%,1.66%,9.37%,10.75%,10.75%,10.75%,196.20%,134.71%,85.24%,62.53%,-43.13%,29.40%,0.17,91.66%,32.28%,64.43%,88.59%,37.25%,,10.75%,-7.96%,11754.45,2.25,1324195,0.56,0.51,0.58,0.50,0.57,1.94%,
6,"PASG","Passage Bio Inc","USA",57.41,,44.54,27.74%,-0.02%,32.76%,-5.98%,3.79%,15.78,1.69,0.00%,0.00%,1.24%,1.13%,-0.90%,-0.91%,-3.48%,-10.44%,-10.44%,-10.44%,8.94%,-12.95%,-24.28%,-13.76%,-7.32%,-7.78%,0.10,7.59%,9.07%,1.47%,-17.57%,-9.11%,5/14/2024 8:30:00 AM,-8.69%,10.71%,106.90,103.77,554641,0.92,1.02,1.12,0.91,0.93,1.10%,
7,"HYZN","Hyzon Motors Inc","USA",84.09,,129.54,47.64%,-7.93%,17.28%,-2.31%,6.35%,18.50,8.23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,3.00%,3.00%,-4.39%,-30.38%,-45.18%,-47.26%,-77.03%,-62.02%,0.03,7.86%,11.91%,-3.66%,-25.86%,-53.63%,5/13/2024 4:30:00 PM,3.00%,0.30%,444.74,7.69,170923,0.33,0.33,0.34,0.32,0.34,3.31%,
8,"MTNB","Matinas Biopharma Holdings Inc","USA",45.90,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.19%,-1.19%,-1.19%,-1.19%,12.27%,14.38%,-9.63%,-19.38%,-49.73%,-15.36%,0.01,5.66%,5.40%,13.23%,11.13%,-13.23%,5/9/2024 4:30:00 PM,-1.19%,1.42%,930.26,2.42,112489,0.18,0.19,0.19,0.18,0.18,0.22%,
9,"CAT","Caterpillar Inc.","USA",170678.45,15.76,488.11,0.19%,-8.84%,72.96%,-1.95%,2.13%,3.46,10.38,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.29%,0.43%,0.43%,0.43%,7.04%,6.94%,-4.10%,20.17%,36.53%,18.04%,6.52,1.88%,1.79%,6.04%,3.42%,12.91%,4/25/2024 8:30:00 AM,0.36%,0.58%,3003.35,2.19,328782,345.77,347.76,349.00,345.77,349.00,0.93%,
10,"MA","Mastercard Incorporated","USA",416469.76,35.61,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.40,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.74%,0.67%,-2.56%,4.40%,11.30%,5.04%,6.70,1.44%,1.42%,0.40%,-0.18%,2.39%,5/1/2024 8:30:00 AM,0.90%,0.00%,2538.27,2.52,319505,444.00,444.00,448.00,444.00,448.00,0.90%,
