"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",18.98,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.07,0.03,-0.98%,-0.98%,0.00%,4.02%,0.00%,-1.94%,0.00%,-25.74%,26.41%,26.41%,89.85%,-28.37%,-64.69%,,,-80.08%,0.24,10.71%,21.16%,8.48%,-43.55%,-64.18%,950.14,22104168,0.62,0.59,1.57,0.58,1.01,63.43%
2,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",5.82,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,2.91%,-1.64%,0.44%,4.81%,5.80%,13.35%,50.03%,66.29%,40.55%,65.06%,108.26%,213.32%,174.17%,324.09%,-55.71%,215.95%,0.10,9.76%,17.45%,113.74%,144.46%,172.61%,85.72,27942036,0.52,0.60,1.02,0.58,0.98,88.23%
3,"ARTL","Artelo Biosciences Inc","Healthcare","Biotechnology","USA",4.49,,2.36,3.23,3.20,0.83%,0.00%,0.77%,37.00%,0.44%,1.18,0.01,-0.01%,-2.11%,-2.80%,0.30%,-7.33%,-7.33%,-9.74%,9.38%,11.20%,11.20%,5.30%,4.51%,-8.85%,-4.79%,-31.14%,-0.71%,0.14,3.28%,4.47%,5.57%,2.38%,-1.33%,4799.02,2875029,1.29,1.25,2.35,1.25,1.39,7.34%
4,"ASNS","Actelis Networks Inc","Technology","Communication Equipment","USA",12.70,,0.47,6.02,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.09,0.42,0.48%,0.00%,0.48%,-2.31%,-0.47%,0.48%,2.39%,11.16%,14.67%,14.67%,32.70%,40.67%,146.18%,77.31%,-39.19%,88.39%,0.35,11.39%,18.27%,26.01%,80.72%,88.82%,8.05,1952314,1.86,1.84,2.32,1.74,2.11,13.44%
5,"BITX","2x Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.22%,0.09%,-0.18%,-0.02%,0.13%,0.10%,-0.35%,0.13%,0.36%,0.39%,21.83%,-20.27%,-26.54%,27.13%,109.09%,48.91%,2.77,5.33%,5.62%,0.72%,-12.77%,8.72%,3.48,937263,28.92,33.78,34.46,33.50,33.89,17.20%
6,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",34.10,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-1.29%,-1.05%,2.10%,4.33%,4.35%,4.89%,4.32%,3.20%,-0.53%,-3.28%,-53.62%,-67.17%,-66.12%,-65.13%,-61.70%,-65.42%,1.75,60.13%,31.70%,-52.69%,-62.00%,-63.97%,304.14,4895680,3.43,4.07,4.08,3.55,3.85,12.22%
7,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.30,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,0.57%,0.61%,0.57%,-0.68%,1.21%,1.21%,-0.06%,-1.29%,-3.08%,-9.66%,33.26%,18.45%,-21.23%,53.76%,-64.15%,49.45%,0.20,10.20%,13.85%,22.40%,3.22%,-19.93%,43.57,4313224,1.29,1.78,1.80,1.52,1.60,23.96%
8,"DATS","DatChat Inc","Technology","Software - Application","USA",6.14,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,-0.49%,0.49%,0.00%,-2.39%,-4.23%,-4.67%,-6.42%,-1.91%,-8.11%,-14.29%,88.89%,58.14%,75.85%,-18.73%,-59.20%,-28.92%,0.19,4.38%,6.00%,74.51%,58.20%,24.84%,3133.11,24502948,1.04,2.46,2.59,1.89,2.04,96.15%
9,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8953.77,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,0.00%,-0.15%,-0.39%,-0.47%,1.03%,1.33%,3.88%,2.48%,2.19%,-0.65%,55.47%,15.17%,44.65%,178.61%,261.23%,169.37%,4.77,6.09%,10.69%,44.85%,13.02%,47.74%,44.39,15163505,30.89,49.86,54.47,37.40,47.14,52.61%
10,"ENVB","Enveric Biosciences Inc","Healthcare","Biotechnology","USA",4.93,,0.80,7.95,7.81,1.81%,0.00%,6.14%,-6.53%,1.95%,0.31,0.15,-1.10%,7.62%,6.90%,0.00%,18.10%,18.10%,18.12%,12.93%,16.98%,16.98%,21.57%,-18.51%,-38.61%,-51.37%,-78.47%,-52.31%,0.07,12.79%,10.21%,4.04%,-15.86%,-48.20%,28.48,693591,0.52,0.53,0.77,0.50,0.62,20.11%
11,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",52.66,,0.01,186.14,176.40,5.23%,0.00%,1.11%,,1.65%,0.92,2.91,0.00%,1.11%,1.04%,1.76%,1.04%,-0.11%,0.60%,1.84%,-5.67%,-5.67%,11.38%,0.68%,-36.89%,-44.85%,-60.24%,-57.32%,0.03,7.15%,7.97%,9.38%,-8.81%,-42.56%,29.05,4621744,0.25,0.26,0.33,0.25,0.28,13.89%
