"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AIM","AIM ImmunoTech Inc","Healthcare","Biotechnology","USA",22.26,,57.14,52.58,92.02%,7.97%,7.96%,7.16%,-3.18%,0.88%,1.86,0.46,0.00%,2.50%,2.50%,2.50%,-0.84%,5.10%,4.20%,2.53%,2.58%,2.58%,-7.68%,-0.38%,-8.46%,-9.42%,-42.96%,-11.46%,0.04,10.56%,7.90%,3.06%,0.30%,-9.61%,0.00%,2.58%,247.96,49.26,610768,0.38,0.39,0.47,0.37,0.39,2.58%
2,"LITM","Snow Lake Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",22.96,,18.19,11.86,65.20%,41.64%,0.00%,0.27%,-15.01%,0.08%,0.20,0.01,-0.88%,3.67%,1.79%,0.89%,1.80%,8.59%,14.14%,14.14%,13.01%,13.01%,87.37%,52.70%,28.41%,13.00%,-46.70%,-3.42%,0.09,17.49%,10.73%,60.25%,45.07%,27.55%,0.00%,16.74%,48.31,937.48,2264715,0.97,1.13,1.15,1.12,1.13,16.74%
3,"LUMN","Lumen Technologies Inc","Communication Services","Telecom Services","USA",1669.74,,1008.49,991.03,98.27%,2.36%,3.87%,66.91%,0.64%,14.16%,14.13,140.38,1.51%,0.92%,0.30%,-2.66%,-2.63%,-2.65%,1.54%,4.11%,13.45%,12.67%,22.76%,56.67%,20.96%,20.07%,-10.11%,-10.11%,0.08,5.60%,6.74%,40.52%,35.68%,17.61%,0.61%,9.73%,9934.29,9.80,4865819,1.49,1.63,1.68,1.61,1.64,10.40%
4,"MAXN","Maxeon Solar Technologies Ltd","Technology","Solar","Singapore",12.22,,53.96,31.36,58.12%,43.70%,0.00%,89.93%,0.40%,73.19%,0.38,22.95,0.64%,0.00%,-0.27%,0.64%,-0.05%,-0.72%,0.69%,4.93%,4.48%,3.93%,-10.12%,-79.40%,-88.81%,-95.70%,-99.20%,-96.94%,0.12,13.72%,26.69%,-45.54%,-84.68%,-94.45%,0.64%,3.32%,59760.75,5.22,15584286,0.21,0.22,0.22,0.22,0.22,3.98%
5,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",40.35,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.16%,0.00,0.02,3.02%,1.88%,1.12%,-1.09%,4.60%,8.35%,11.46%,6.20%,14.71%,24.66%,232.89%,284.48%,210.90%,200.00%,,160.00%,0.54,86.00%,29.83%,181.78%,219.41%,94.55%,3.02%,3.52%,3607.37,6.18,1115160,2.56,2.65,2.74,2.66,2.73,6.64%
6,"NUZE","Nuzee Inc","Consumer Defensive","Packaged Foods","USA",11.71,,2.39,1.02,42.68%,57.10%,331.25%,6.17%,,1.87%,0.03,0.02,-0.61%,10.86%,16.39%,20.98%,12.13%,21.58%,7.46%,24.68%,135.58%,172.22%,260.29%,206.25%,260.29%,172.21%,-51.00%,92.91%,0.44,14.19%,8.59%,242.45%,194.98%,129.91%,-0.81%,379.61%,596.49,1402.48,41828316,1.03,4.94,5.27,4.65,4.90,375.73%
7,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",18.19,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,5.19%,4.08%,4.08%,4.39%,1.70%,0.15%,3.38%,0.58%,-0.93%,33.79%,86.21%,60.51%,14.83%,2.90%,-25.11%,-5.36%,1.06,7.80%,9.40%,72.02%,47.00%,-0.38%,4.39%,65.41%,20.91,1346.15,1407459,7.98,13.20,13.79,13.12,13.78,72.68%
8,"RGC","Regencell Bioscience Holdings Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Hong Kong",219.22,,13.01,12.02,92.39%,7.60%,0.00%,0.01%,,0.01%,0.03,0.00,-7.26%,-9.31%,-9.36%,-7.87%,-4.88%,-5.39%,-9.55%,1.69%,-19.80%,-17.68%,425.97%,285.30%,355.41%,20.01%,-43.81%,60.48%,2.54,162.76%,46.68%,305.95%,252.72%,56.80%,-7.42%,21.66%,32.61,374.39,610526,14.96,18.20,18.69,17.00,16.85,12.63%
9,"SAN","Banco Santander S.A. ADR","Financial","Banks - Diversified","Spain",76742.33,6.83,15886.33,15196.50,95.66%,0.00%,,2.72%,-4.97%,0.04%,2.85,6.34,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.40%,0.20%,0.20%,1.00%,3.91%,7.91%,1.20%,27.20%,30.83%,21.98%,0.09,1.26%,1.26%,5.91%,2.75%,15.12%,0.00%,2.23%,2226.43,4.90,544930,4.94,5.05,5.06,5.05,5.05,2.23%
10,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",154.57,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,3.52%,4.61%,1.17%,-2.45%,6.41%,5.79%,15.85%,40.55%,93.48%,62.86%,70.85%,58.56%,43.00%,64.00%,-43.57%,37.11%,0.07,12.61%,13.12%,90.90%,51.18%,33.27%,3.46%,79.42%,2266.02,412.20,46702404,0.40,0.72,0.75,0.72,0.74,85.62%
