"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6797.09,17.36,4.03,654.27,646.73,98.85%,1.43%,0.00%,58.83%,1.45%,17.07%,3.25,110.41,21.61%,6.84%,0.94%,-0.10%,0.10%,1.12%,-0.32%,-3.40%,-3.26%,4.43%,5.28%,8.94%,10.21%,-2.45%,-6.92%,-25.57%,-25.63%,-37.78%,-24.60%,0.39,3.43%,2.75%,-4.88%,-12.61%,-21.44%,4.44%,-2.46%,33988.82,6.43,26892845,10.17,9.92,10.78,9.76,10.36,1.87%,,
2,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",360.10,,11.85,99.20,57.66,58.12%,41.87%,0.00%,30.07%,0.98%,1.67%,1.13,0.96,,-387.84%,-369.50%,0.00%,-0.27%,-0.83%,-2.16%,-4.22%,-0.82%,-3.92%,-2.94%,-0.82%,-10.37%,0.00%,-9.48%,53.16%,-9.25%,23.89%,-27.40%,0.23,5.37%,5.80%,-1.81%,-6.88%,6.63%,-1.36%,4.25%,855.91,5.61,578867,3.53,3.68,3.83,3.55,3.63,2.83%,,
3,"AUGX","Augmedix Inc","Healthcare","Health Information Services","USA",111.75,,,48.61,47.59,97.90%,3.33%,-21.71%,82.49%,0.68%,3.61%,1.41,1.72,48.22%,-41.25%,-41.95%,0.00%,-0.04%,-0.33%,0.00%,-0.22%,-0.22%,0.00%,-0.04%,-0.04%,-0.04%,147.71%,169.92%,-20.35%,-51.70%,-41.94%,-61.20%,0.13,1.40%,6.25%,90.62%,109.82%,-38.25%,0.00%,0.44%,1217.15,4.14,607513,2.26,2.27,2.28,2.27,2.27,0.44%,,
4,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",15290.37,58.83,18.56,676.60,661.79,97.81%,2.57%,-0.16%,98.37%,-3.85%,3.24%,3.33,21.47,32.54%,11.96%,3.79%,-0.38%,-0.51%,-0.24%,-0.38%,-0.57%,0.31%,1.67%,0.81%,0.04%,0.04%,8.53%,1.99%,-11.59%,1.99%,-1.05%,-1.40%,0.65,3.46%,2.59%,6.49%,-0.32%,-0.72%,1.53%,-0.89%,6445.74,3.05,2417037,22.37,22.17,22.70,22.06,22.51,0.63%,,
5,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",680.27,,,39.97,23.50,58.79%,41.95%,0.00%,39.66%,-15.81%,8.31%,7.33,1.95,37.01%,-4.60%,-21.26%,0.06%,0.08%,0.03%,0.06%,0.06%,0.37%,0.75%,2.03%,-2.92%,-2.92%,24.11%,47.80%,20.12%,45.25%,5.89%,20.55%,0.69,3.87%,3.58%,31.77%,35.87%,40.21%,0.63%,23.52%,266.45,90.30,2961280,13.52,16.70,16.81,16.66,16.81,24.30%,,
6,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",38.07,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,-0.97%,-1.29%,-1.92%,-1.45%,-0.33%,-1.29%,-1.29%,14.61%,2.00%,-4.38%,,,,,,24.90%,1.88,,,24.90%,24.90%,24.90%,15.04%,8.57%,2081.96,40.39,10348907,2.45,2.66,4.30,2.63,3.06,24.90%,,
7,"BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom",76900.31,,7.11,2230.46,2212.63,99.20%,0.00%,,6.80%,7.26%,0.17%,0.94,3.75,69.97%,45.85%,-53.47%,0.03%,-0.13%,-0.06%,-0.17%,-0.19%,-0.19%,-0.02%,0.10%,1.71%,-0.16%,5.19%,8.17%,17.85%,18.13%,2.61%,18.66%,0.48,0.97%,0.94%,8.03%,10.22%,14.07%,0.55%,3.55%,3997.26,5.37,2643606,33.38,34.56,34.87,34.57,34.76,4.12%,,
8,"CERE","Cerevel Therapeutics Holdings Inc","Healthcare","Biotechnology","USA",8101.99,,,181.36,87.51,48.25%,51.97%,-0.29%,47.94%,4.97%,6.83%,3.63,5.98,,0.00%,,0.07%,0.14%,0.17%,0.11%,-0.09%,-0.06%,0.86%,2.11%,2.11%,2.11%,4.15%,12.41%,6.13%,5.86%,44.71%,4.88%,0.80,0.85%,2.59%,7.09%,7.52%,16.67%,1.48%,1.04%,1646.73,9.48,1920667,43.37,43.82,44.54,43.75,44.47,2.54%,,
9,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",16.87,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,0.45%,-0.45%,2.07%,2.07%,-9.02%,-6.53%,0.74%,3.49%,14.43%,18.40%,152.27%,133.68%,36.19%,-67.13%,-93.39%,-70.29%,0.90,89.62%,42.27%,70.86%,62.88%,-71.33%,2.30%,11.86%,2158.58,21.65,5750849,3.88,4.34,5.13,4.24,4.44,14.43%,,
10,"CNX","CNX Resources Corp","Energy","Oil & Gas E&P","USA",3875.69,4.60,13.19,154.38,146.28,94.75%,4.54%,0.00%,106.33%,-6.23%,17.51%,9.82,25.61,28.77%,13.02%,76.07%,-0.10%,-0.14%,0.28%,0.36%,-0.09%,-1.06%,-1.66%,-1.79%,-2.73%,-2.73%,-2.47%,4.12%,4.46%,25.95%,37.97%,26.45%,0.62,2.24%,2.07%,0.14%,0.90%,12.57%,-1.75%,3.42%,2606.80,3.02,968399,24.89,25.74,26.16,25.04,25.29,1.61%,,
