"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",24.32,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.08,0.22,75.65%,-14.07%,-79.55%,0.63%,-1.69%,-0.93%,-0.93%,-3.05%,-1.08%,2.07%,-1.54%,11.11%,11.11%,305.06%,87.68%,123.39%,-48.59%,-90.30%,-57.18%,1.07,100.66%,44.51%,136.16%,130.17%,-57.75%,9.78%,3.37%,2558.51,9.86,1261157,5.64,5.83,7.40,5.74,6.40,13.48%,,
2,"CREV","Carbon Revolution Public Ltd. Co.","Consumer Cyclical","Auto Parts","Ireland",20.98,531.10,,1.89,1.75,92.59%,7.11%,0.00%,1.91%,,0.11%,0.12,0.00,,0.00%,,0.09%,0.18%,1.37%,0.27%,-3.73%,-4.39%,-2.54%,-9.68%,-6.80%,-6.80%,83.63%,59.25%,-20.71%,-51.74%,4.72%,-51.81%,1.49,34.80%,11.53%,72.54%,38.92%,-35.40%,3.74%,73.42%,16.16,4888.86,3948992,6.17,10.70,14.27,10.62,11.10,79.90%,,
3,"CVM","Cel-Sci Corp.","Healthcare","Biotechnology","USA",83.95,,,54.16,52.37,96.69%,3.31%,3.34%,14.05%,-13.78%,16.15%,25.85,8.46,,0.00%,,1.33%,-6.61%,3.33%,0.02%,28.10%,28.10%,28.08%,28.08%,28.08%,28.08%,17.42%,33.62%,6.90%,-42.16%,-16.22%,-43.01%,0.15,11.56%,8.91%,22.19%,21.99%,-18.72%,25.08%,2.41%,327.26,100.30,1641227,1.21,1.24,1.69,1.21,1.55,28.10%,,
4,"EVRI","Everi Holdings Inc","Consumer Cyclical","Gambling","USA",1093.04,19.74,13.93,83.74,80.91,96.62%,3.77%,-5.11%,84.86%,-1.68%,5.09%,2.51,4.12,61.99%,20.15%,7.53%,-0.15%,-0.15%,0.08%,0.70%,1.01%,1.40%,1.96%,4.25%,5.18%,5.18%,56.63%,59.90%,55.69%,20.82%,-13.68%,15.35%,0.69,6.04%,5.10%,51.12%,62.80%,33.50%,4.84%,35.67%,1641.76,48.15,3952672,9.14,12.40,13.08,11.99,13.00,42.23%,,
5,"MGRX","Mangoceuticals Inc","Healthcare","Health Information Services","USA",11.11,,,21.42,13.97,65.22%,43.72%,-1.14%,1.32%,,4.71%,0.12,0.66,61.75%,-1068.50%,-1067.52%,-2.70%,0.00%,-6.69%,-3.74%,-0.53%,-4.77%,1.73%,1.73%,1.73%,1.73%,17.79%,35.64%,61.44%,45.32%,-61.41%,61.65%,0.05,12.52%,12.73%,23.99%,24.49%,17.81%,1.73%,4.76%,5679.59,2.83,802263,0.42,0.44,0.49,0.42,0.45,6.57%,,
6,"RR","Richtech Robotics Inc.","Industrials","Specialty Industrial Machinery","USA",83.46,,,20.89,14.74,70.56%,77.75%,0.00%,0.08%,,2.34%,0.15,0.35,68.47%,-11.59%,-25.92%,0.79%,0.79%,0.01%,-0.01%,-0.83%,0.79%,5.87%,5.87%,-2.33%,-2.33%,-14.29%,-2.33%,1.60%,-87.27%,,-78.82%,0.21,32.38%,14.44%,1.65%,2.50%,-53.27%,-0.80%,12.39%,2258.73,20.81,2350482,1.13,1.27,1.43,1.18,1.26,11.50%,,
7,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",478.59,,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,7.16%,0.18,1.68,-95.85%,-2041.54%,-2577.51%,0.00%,-0.15%,-0.31%,-1.45%,-1.45%,-0.54%,2.22%,1.18%,-1.53%,-1.53%,70.86%,608.79%,324.34%,,,-48.40%,1.49,61.94%,23.86%,224.04%,306.77%,219.18%,-2.79%,9.40%,9215.06,8.35,3847103,12.13,13.27,13.79,12.39,12.90,6.35%,,
8,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",148.14,,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,6.82%,1.77,12.73,-2.77%,-1259.72%,-1749.06%,0.27%,-0.01%,0.27%,0.13%,0.13%,0.48%,-0.85%,6.49%,8.36%,8.36%,79.78%,68.61%,41.93%,57.84%,-46.72%,31.40%,0.09,30.80%,17.91%,74.84%,44.19%,27.53%,8.36%,-1.96%,7188.09,2.37,852388,0.67,0.66,0.73,0.65,0.71,6.24%,,
9,"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",22465.84,,,1391.34,1033.96,74.31%,36.99%,-0.34%,52.49%,-11.92%,6.50%,2.88,67.24,49.88%,-28.39%,-26.99%,0.29%,-0.07%,-0.18%,-0.29%,-0.08%,-0.07%,0.07%,0.29%,0.00%,0.00%,-4.93%,-18.37%,20.09%,-15.96%,27.59%,-19.14%,0.69,4.28%,4.55%,-12.32%,-12.35%,0.30%,0.00%,1.78%,23307.93,2.97,3466426,13.45,13.69,13.73,13.45,13.69,1.78%,,
10,"VCIG","VCI Global Ltd","Industrials","Consulting Services","Malaysia",39.99,,,81.62,40.72,49.89%,50.11%,0.00%,0.09%,,0.42%,0.37,0.17,,,,-0.14%,-0.14%,0.02%,0.02%,1.66%,-3.92%,-14.04%,0.00%,5.15%,5.15%,-1.80%,-20.95%,-58.12%,-52.66%,-86.00%,-78.32%,0.06,12.89%,8.51%,-7.32%,-25.31%,-67.45%,5.15%,0.43%,466.06,21.98,512177,0.46,0.47,0.63,0.47,0.49,5.60%,,
11,"VOD","Vodafone Group plc ADR","Communication Services","Telecom Services","United Kingdom",24903.40,20.66,8.50,2708.01,2656.50,98.10%,0.05%,0.00%,7.80%,0.19%,0.36%,1.85,9.65,33.37%,12.16%,3.08%,0.00%,0.00%,0.00%,0.00%,0.00%,1.08%,0.21%,0.43%,0.42%,0.42%,3.65%,6.48%,8.83%,6.60%,-6.58%,7.70%,0.14,1.10%,1.16%,3.67%,2.01%,5.07%,0.42%,0.66%,5219.18,2.41,629564,9.27,9.33,9.38,9.27,9.37,1.08%,,
12,"ZPTA","Zapata Computing Holdings Inc.","Technology","Software - Infrastructure","USA",19.43,,,31.98,20.76,64.92%,35.10%,0.00%,5.09%,6.23%,1.48%,0.30,0.31,13.63%,-916.02%,-1925.29%,0.02%,0.85%,0.30%,-0.70%,-1.91%,-1.20%,-0.39%,0.85%,-7.94%,-7.94%,12.52%,-2.32%,-62.26%,-94.45%,-94.27%,-94.41%,0.07,8.77%,9.46%,2.64%,-14.84%,-91.09%,-9.97%,24.98%,1028.28,90.83,4669904,0.54,0.67,0.68,0.59,0.61,12.52%,,
