Symbol,Combination,Total_Trades,Profitable_Trades,Total_Profit_Loss,Accuracy
NKE,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",11,1,-20.533912658691406,9.090909090909092
NKE,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",13,3,-18.21112060546875,23.076923076923077
NKE,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",13,3,-18.21112060546875,23.076923076923077
NKE,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
NKE,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",41,16,-21.605606079101562,39.02439024390244
NKE,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",41,16,-21.605606079101562,39.02439024390244
NKE,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",11,1,-20.533912658691406,9.090909090909092
NKE,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
NKE,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",11,1,-20.533912658691406,9.090909090909092
NKE,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",54,27,-19.767478942871094,50.0
NKE,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
NKE,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
NKE,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",13,3,-18.21112060546875,23.076923076923077
NKE,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
NKE,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
NKE,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
NKE,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",41,16,-21.605606079101562,39.02439024390244
NKE,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
NKE,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
NKE,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
ALL,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",29,13,-0.6979522705078125,44.827586206896555
ALL,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",21,9,-0.0619659423828125,42.857142857142854
ALL,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
ALL,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",26,11,-0.401580810546875,42.30769230769231
ALL,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",21,9,-0.0619659423828125,42.857142857142854
ALL,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
ALL,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
ALL,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
ALL,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
ALL,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
ALL,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
ALL,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,1,6.0749969482421875,100.0
ALL,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
ALL,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
ALL,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
OKE,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",25,12,-2.0956954956054688,48.0
OKE,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",25,12,-2.0956954956054688,48.0
OKE,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",9,5,0.26479339599609375,55.55555555555556
OKE,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
OKE,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",67,33,-7.640281677246094,49.25373134328358
OKE,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",10,5,-1.7652053833007812,50.0
OKE,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",25,12,-2.0956954956054688,48.0
OKE,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
OKE,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",9,5,0.26479339599609375,55.55555555555556
OKE,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",10,5,-1.7652053833007812,50.0
OKE,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
OKE,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
OKE,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",9,5,0.26479339599609375,55.55555555555556
OKE,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
OKE,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
OKE,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
OKE,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",10,5,-1.7652053833007812,50.0
OKE,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
OKE,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
OKE,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",17,7,-1.9049911499023438,41.17647058823529
EOG,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",84,45,-8.939926147460938,53.57142857142857
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",27,10,-5.410003662109375,37.03703703703704
EOG,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
